table_no,no,kabupaten,metric,value
1,15.0,KAB. SIDOARJO,kepadatan_penduduk_per_km2_desa_+_kelurahan,3026.758982
1,16.0,KAB. MOJOKERTO,luas_wilayah_km2,984.38
1,16.0,KAB. MOJOKERTO,jumlah_desa,299.0
1,16.0,KAB. MOJOKERTO,jumlah_kelurahan,5.0
1,16.0,KAB. MOJOKERTO,jumlah_desa_+_kelurahan,304
1,16.0,KAB. MOJOKERTO,jumlah_penduduk_desa_+_kelurahan,1162696.0
1,16.0,KAB. MOJOKERTO,jumlah_rumah_tangga_desa_+_kelurahan,370075.0
1,16.0,KAB. MOJOKERTO,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.141784773
1,16.0,KAB. MOJOKERTO,kepadatan_penduduk_per_km2_desa_+_kelurahan,1181.145493
1,17.0,KAB. JOMBANG,luas_wilayah_km2,1109.835
1,17.0,KAB. JOMBANG,jumlah_desa,302.0
1,17.0,KAB. JOMBANG,jumlah_kelurahan,4.0
1,17.0,KAB. JOMBANG,jumlah_desa_+_kelurahan,306
1,17.0,KAB. JOMBANG,jumlah_penduduk_desa_+_kelurahan,1373793.0
1,17.0,KAB. JOMBANG,jumlah_rumah_tangga_desa_+_kelurahan,456188.0
1,17.0,KAB. JOMBANG,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.01146238
1,17.0,KAB. JOMBANG,kepadatan_penduduk_per_km2_desa_+_kelurahan,1237.835354
1,18.0,KAB. NGANJUK,luas_wilayah_km2,1289.067
1,18.0,KAB. NGANJUK,jumlah_desa,264.0
1,18.0,KAB. NGANJUK,jumlah_kelurahan,20.0
1,18.0,KAB. NGANJUK,jumlah_desa_+_kelurahan,284
1,18.0,KAB. NGANJUK,jumlah_penduduk_desa_+_kelurahan,1138604.0
1,18.0,KAB. NGANJUK,jumlah_rumah_tangga_desa_+_kelurahan,338945.0
1,18.0,KAB. NGANJUK,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.359258877
1,18.0,KAB. NGANJUK,kepadatan_penduduk_per_km2_desa_+_kelurahan,883.2775953
1,19.0,KAB. MADIUN,luas_wilayah_km2,1113.627
1,19.0,KAB. MADIUN,jumlah_desa,198.0
1,19.0,KAB. MADIUN,jumlah_kelurahan,8.0
1,19.0,KAB. MADIUN,jumlah_desa_+_kelurahan,206
1,19.0,KAB. MADIUN,jumlah_penduduk_desa_+_kelurahan,760948.0
1,19.0,KAB. MADIUN,jumlah_rumah_tangga_desa_+_kelurahan,268954.0
1,19.0,KAB. MADIUN,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,2.829286793
1,19.0,KAB. MADIUN,kepadatan_penduduk_per_km2_desa_+_kelurahan,683.3059902
1,20.0,KAB. MAGETAN,luas_wilayah_km2,706.444
1,20.0,KAB. MAGETAN,jumlah_desa,207.0
1,20.0,KAB. MAGETAN,jumlah_kelurahan,28.0
1,20.0,KAB. MAGETAN,jumlah_desa_+_kelurahan,235
1,20.0,KAB. MAGETAN,jumlah_penduduk_desa_+_kelurahan,689209.0
1,20.0,KAB. MAGETAN,jumlah_rumah_tangga_desa_+_kelurahan,237373.0
1,20.0,KAB. MAGETAN,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,2.903485232
1,20.0,KAB. MAGETAN,kepadatan_penduduk_per_km2_desa_+_kelurahan,975.6031618
1,21.0,KAB. NGAWI,luas_wilayah_km2,1395.804
1,21.0,KAB. NGAWI,jumlah_desa,213.0
1,21.0,KAB. NGAWI,jumlah_kelurahan,4.0
1,21.0,KAB. NGAWI,jumlah_desa_+_kelurahan,217
1,21.0,KAB. NGAWI,jumlah_penduduk_desa_+_kelurahan,887172.0
1,21.0,KAB. NGAWI,jumlah_rumah_tangga_desa_+_kelurahan,331227.0
1,21.0,KAB. NGAWI,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,2.678441069
1,21.0,KAB. NGAWI,kepadatan_penduduk_per_km2_desa_+_kelurahan,635.5992675
1,22.0,KAB. BOJONEGORO,luas_wilayah_km2,2312.627
1,22.0,KAB. BOJONEGORO,jumlah_desa,419.0
1,22.0,KAB. BOJONEGORO,jumlah_kelurahan,11.0
1,22.0,KAB. BOJONEGORO,jumlah_desa_+_kelurahan,430
1,22.0,KAB. BOJONEGORO,jumlah_penduduk_desa_+_kelurahan,1330516.0
1,22.0,KAB. BOJONEGORO,jumlah_rumah_tangga_desa_+_kelurahan,398083.0
1,22.0,KAB. BOJONEGORO,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.342308011
1,22.0,KAB. BOJONEGORO,kepadatan_penduduk_per_km2_desa_+_kelurahan,575.326674
1,23.0,KAB. TUBAN,luas_wilayah_km2,1973.515
1,23.0,KAB. TUBAN,jumlah_desa,311.0
1,23.0,KAB. TUBAN,jumlah_kelurahan,17.0
1,23.0,KAB. TUBAN,jumlah_desa_+_kelurahan,328
1,23.0,KAB. TUBAN,jumlah_penduduk_desa_+_kelurahan,1231374.0
1,23.0,KAB. TUBAN,jumlah_rumah_tangga_desa_+_kelurahan,376317.0
1,23.0,KAB. TUBAN,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.272172131
1,23.0,KAB. TUBAN,kepadatan_penduduk_per_km2_desa_+_kelurahan,623.9496533
1,24.0,KAB. LAMONGAN,luas_wilayah_km2,1752.989
1,24.0,KAB. LAMONGAN,jumlah_desa,462.0
1,24.0,KAB. LAMONGAN,jumlah_kelurahan,12.0
1,24.0,KAB. LAMONGAN,jumlah_desa_+_kelurahan,474
1,24.0,KAB. LAMONGAN,jumlah_penduduk_desa_+_kelurahan,1386390.0
1,24.0,KAB. LAMONGAN,jumlah_rumah_tangga_desa_+_kelurahan,373407.0
1,24.0,KAB. LAMONGAN,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.712812025
1,24.0,KAB. LAMONGAN,kepadatan_penduduk_per_km2_desa_+_kelurahan,790.8720477
1,25.0,KAB. GRESIK,luas_wilayah_km2,1264.009
1,25.0,KAB. GRESIK,jumlah_desa,330.0
1,25.0,KAB. GRESIK,jumlah_kelurahan,26.0
1,25.0,KAB. GRESIK,jumlah_desa_+_kelurahan,356
1,25.0,KAB. GRESIK,jumlah_penduduk_desa_+_kelurahan,1377287.0
1,25.0,KAB. GRESIK,jumlah_rumah_tangga_desa_+_kelurahan,412318.0
1,25.0,KAB. GRESIK,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.340351379
1,25.0,KAB. GRESIK,kepadatan_penduduk_per_km2_desa_+_kelurahan,1089.618033
1,26.0,KAB. BANGKALAN,luas_wilayah_km2,1302.64
1,26.0,KAB. BANGKALAN,jumlah_desa,273.0
1,26.0,KAB. BANGKALAN,jumlah_kelurahan,8.0
1,26.0,KAB. BANGKALAN,jumlah_desa_+_kelurahan,281
1,26.0,KAB. BANGKALAN,jumlah_penduduk_desa_+_kelurahan,1112956.0
1,26.0,KAB. BANGKALAN,jumlah_rumah_tangga_desa_+_kelurahan,313237.0
1,26.0,KAB. BANGKALAN,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.553079617
1,26.0,KAB. BANGKALAN,kepadatan_penduduk_per_km2_desa_+_kelurahan,854.3849413
1,27.0,KAB. SAMPANG,luas_wilayah_km2,1229.165
1,27.0,KAB. SAMPANG,jumlah_desa,180.0
1,27.0,KAB. SAMPANG,jumlah_kelurahan,6.0
1,27.0,KAB. SAMPANG,jumlah_desa_+_kelurahan,186
1,27.0,KAB. SAMPANG,jumlah_penduduk_desa_+_kelurahan,1027538.0
1,27.0,KAB. SAMPANG,jumlah_rumah_tangga_desa_+_kelurahan,234394.0
1,27.0,KAB. SAMPANG,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,4.383806753
1,27.0,KAB. SAMPANG,kepadatan_penduduk_per_km2_desa_+_kelurahan,835.9642522
1,28.0,KAB. PAMEKASAN,luas_wilayah_km2,796.241
1,28.0,KAB. PAMEKASAN,jumlah_desa,178.0
1,28.0,KAB. PAMEKASAN,jumlah_kelurahan,11.0
1,28.0,KAB. PAMEKASAN,jumlah_desa_+_kelurahan,189
1,28.0,KAB. PAMEKASAN,jumlah_penduduk_desa_+_kelurahan,893327.0
1,28.0,KAB. PAMEKASAN,jumlah_rumah_tangga_desa_+_kelurahan,256968.0
1,28.0,KAB. PAMEKASAN,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.476413406
1,28.0,KAB. PAMEKASAN,kepadatan_penduduk_per_km2_desa_+_kelurahan,1121.930421
1,29.0,KAB. SUMENEP,luas_wilayah_km2,2083.048
1,29.0,KAB. SUMENEP,jumlah_desa,330.0
1,29.0,KAB. SUMENEP,jumlah_kelurahan,4.0
1,29.0,KAB. SUMENEP,jumlah_desa_+_kelurahan,334
1,29.0,KAB. SUMENEP,jumlah_penduduk_desa_+_kelurahan,1159397.0
1,29.0,KAB. SUMENEP,jumlah_rumah_tangga_desa_+_kelurahan,366951.0
1,29.0,KAB. SUMENEP,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.159541737
1,29.0,KAB. SUMENEP,kepadatan_penduduk_per_km2_desa_+_kelurahan,556.5867901
1,30.0,KOTA KEDIRI,luas_wilayah_km2,67.232
1,30.0,KOTA KEDIRI,jumlah_desa,0.0
1,30.0,KOTA KEDIRI,jumlah_kelurahan,46.0
1,30.0,KOTA KEDIRI,jumlah_desa_+_kelurahan,46
1,30.0,KOTA KEDIRI,jumlah_penduduk_desa_+_kelurahan,301202.0
1,30.0,KOTA KEDIRI,jumlah_rumah_tangga_desa_+_kelurahan,78484.0
1,30.0,KOTA KEDIRI,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.83775037
1,30.0,KOTA KEDIRI,kepadatan_penduduk_per_km2_desa_+_kelurahan,4480.039267
1,31.0,KOTA BLITAR,luas_wilayah_km2,33.203
1,31.0,KOTA BLITAR,jumlah_desa,0.0
1,31.0,KOTA BLITAR,jumlah_kelurahan,21.0
1,31.0,KOTA BLITAR,jumlah_desa_+_kelurahan,21
1,31.0,KOTA BLITAR,jumlah_penduduk_desa_+_kelurahan,156330.0
1,31.0,KOTA BLITAR,jumlah_rumah_tangga_desa_+_kelurahan,56581.0
1,31.0,KOTA BLITAR,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,2.762941624
1,31.0,KOTA BLITAR,kepadatan_penduduk_per_km2_desa_+_kelurahan,4708.30949
1,32.0,KOTA MALANG,luas_wilayah_km2,111.077
1,32.0,KOTA MALANG,jumlah_desa,0.0
1,32.0,KOTA MALANG,jumlah_kelurahan,57.0
1,32.0,KOTA MALANG,jumlah_desa_+_kelurahan,57
1,32.0,KOTA MALANG,jumlah_penduduk_desa_+_kelurahan,879873.0
1,32.0,KOTA MALANG,jumlah_rumah_tangga_desa_+_kelurahan,257142.0
1,32.0,KOTA MALANG,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.421739739
1,32.0,KOTA MALANG,kepadatan_penduduk_per_km2_desa_+_kelurahan,7921.288836
1,33.0,KOTA PROBOLINGGO,luas_wilayah_km2,55.197
1,33.0,KOTA PROBOLINGGO,jumlah_desa,0.0
1,33.0,KOTA PROBOLINGGO,jumlah_kelurahan,29.0
1,33.0,KOTA PROBOLINGGO,jumlah_desa_+_kelurahan,29
1,33.0,KOTA PROBOLINGGO,jumlah_penduduk_desa_+_kelurahan,252085.0
1,33.0,KOTA PROBOLINGGO,jumlah_rumah_tangga_desa_+_kelurahan,82635.0
1,33.0,KOTA PROBOLINGGO,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.050583893
1,33.0,KOTA PROBOLINGGO,kepadatan_penduduk_per_km2_desa_+_kelurahan,4567.005453
1,34.0,KOTA PASURUAN,luas_wilayah_km2,39.109
1,34.0,KOTA PASURUAN,jumlah_desa,0.0
1,34.0,KOTA PASURUAN,jumlah_kelurahan,34.0
1,34.0,KOTA PASURUAN,jumlah_desa_+_kelurahan,34
1,34.0,KOTA PASURUAN,jumlah_penduduk_desa_+_kelurahan,222334.0
1,34.0,KOTA PASURUAN,jumlah_rumah_tangga_desa_+_kelurahan,57304.0
1,34.0,KOTA PASURUAN,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.879903672
1,34.0,KOTA PASURUAN,kepadatan_penduduk_per_km2_desa_+_kelurahan,5684.982996
1,35.0,KOTA MOJOKERTO,luas_wilayah_km2,20.48
1,35.0,KOTA MOJOKERTO,jumlah_desa,0.0
1,35.0,KOTA MOJOKERTO,jumlah_kelurahan,18.0
1,35.0,KOTA MOJOKERTO,jumlah_desa_+_kelurahan,18
1,35.0,KOTA MOJOKERTO,jumlah_penduduk_desa_+_kelurahan,138613.0
1,35.0,KOTA MOJOKERTO,jumlah_rumah_tangga_desa_+_kelurahan,48428.0
1,35.0,KOTA MOJOKERTO,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,2.862249112
1,35.0,KOTA MOJOKERTO,kepadatan_penduduk_per_km2_desa_+_kelurahan,6768.212891
1,36.0,KOTA MADIUN,luas_wilayah_km2,36.126
1,36.0,KOTA MADIUN,jumlah_desa,0.0
1,36.0,KOTA MADIUN,jumlah_kelurahan,27.0
1,36.0,KOTA MADIUN,jumlah_desa_+_kelurahan,27
1,36.0,KOTA MADIUN,jumlah_penduduk_desa_+_kelurahan,203552.0
1,36.0,KOTA MADIUN,jumlah_rumah_tangga_desa_+_kelurahan,62344.0
1,36.0,KOTA MADIUN,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.264981394
1,36.0,KOTA MADIUN,kepadatan_penduduk_per_km2_desa_+_kelurahan,5634.501467
1,37.0,KOTA SURABAYA,luas_wilayah_km2,338.048
1,37.0,KOTA SURABAYA,jumlah_desa,0.0
1,37.0,KOTA SURABAYA,jumlah_kelurahan,153.0
1,37.0,KOTA SURABAYA,jumlah_desa_+_kelurahan,153
1,37.0,KOTA SURABAYA,jumlah_penduduk_desa_+_kelurahan,2931611.0
1,37.0,KOTA SURABAYA,jumlah_rumah_tangga_desa_+_kelurahan,993909.0
1,37.0,KOTA SURABAYA,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,2.949576873
1,37.0,KOTA SURABAYA,kepadatan_penduduk_per_km2_desa_+_kelurahan,8672.173774
1,38.0,KOTA BATU,luas_wilayah_km2,194.17
1,38.0,KOTA BATU,jumlah_desa,19.0
1,38.0,KOTA BATU,jumlah_kelurahan,5.0
1,38.0,KOTA BATU,jumlah_desa_+_kelurahan,24
1,38.0,KOTA BATU,jumlah_penduduk_desa_+_kelurahan,225120.0
1,38.0,KOTA BATU,jumlah_rumah_tangga_desa_+_kelurahan,72675.0
1,38.0,KOTA BATU,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.097626419
1,38.0,KOTA BATU,kepadatan_penduduk_per_km2_desa_+_kelurahan,1159.396405
5,,KAB. PACITAN,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_rawat_jalan_l,229708.0
5,,KAB. PACITAN,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_rawat_jalan_p,423373.0
5,,KAB. PACITAN,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_rawat_jalan_l_+_p,653081.0
5,,KAB. PACITAN,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_rawat_inap_l,7085.0
5,,KAB. PACITAN,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_rawat_inap_p,9271.0
5,,KAB. PACITAN,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_rawat_inap_l_+_p,16356.0
5,,KAB. PACITAN,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_gangguan_jiwa_l,502.0
5,,KAB. PACITAN,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_gangguan_jiwa_p,471.0
5,,KAB. PACITAN,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_gangguan_jiwa_l_+_p,973.0
5,,KAB. PONOROGO,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_rawat_jalan_l,663932.0
5,,KAB. PONOROGO,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_rawat_jalan_p,990612.0
5,,KAB. PONOROGO,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_rawat_jalan_l_+_p,1654544.0
5,,KAB. PONOROGO,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_rawat_inap_l,3333.0
5,,KAB. PONOROGO,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_rawat_inap_p,4476.0
5,,KAB. PONOROGO,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_rawat_inap_l_+_p,7809.0
5,,KAB. PONOROGO,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_gangguan_jiwa_l,1792.0
5,,KAB. PONOROGO,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_gangguan_jiwa_p,1555.0
5,,KAB. PONOROGO,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_gangguan_jiwa_l_+_p,3347.0
5,,KAB. TRENGGALEK,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_rawat_jalan_l,84070.0
5,,KAB. TRENGGALEK,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_rawat_jalan_p,140553.0
5,,KAB. TRENGGALEK,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_rawat_jalan_l_+_p,224623.0
5,,KAB. TRENGGALEK,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_rawat_inap_l,1395.0
5,,KAB. TRENGGALEK,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_rawat_inap_p,1871.0
5,,KAB. TRENGGALEK,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_rawat_inap_l_+_p,3266.0
5,,KAB. TRENGGALEK,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_gangguan_jiwa_l,894.0
5,,KAB. TRENGGALEK,fasilitas_pelayanan_kesehatan_tingkat_pertama_puskesmas_gangguan_jiwa_p,670.0
